1,227,228,20,30,40,0,0,1
1,227,228,22,32,40,0,0,0
1,227,228,23,31,40,0,0,0
1,227,228,25,40,50,0,0,1
1,227,228,25,30,41,0,0,0
1,227,228,20,35,40,0,0,0
1,227,228,30,45,55,0,0,1
1,227,228,35,35,50,0,0,1
1,227,228,30,50,50,0,0,1
1,227,228,29,40,50,0,0,1
2,227,229,23,30,41,50,0,0
2,227,229,22,31,42,50,0,0
2,227,229,24,32,43,51,0,0
2,227,229,21,30,40,50,0,0
2,227,229,20,30,40,50,0,0
2,227,229,25,37,45,51,0,1
2,227,229,26,38,46,53,0,1
2,227,229,27,39,45,55,0,1
2,227,229,30,40,46,51,0,1
2,227,229,25,36,46,52,0,1
3,230,231,20,30,40,50,30,0
3,230,231,21,32,41,51,30,0
3,230,231,20,31,42,52,31,0
3,230,231,22,30,40,51,31,0
3,230,231,21,33,40,50,31,0
3,230,231,25,35,45,52,35,1
3,230,231,26,33,46,53,36,1
3,230,231,27,38,45,57,38,1
3,230,231,25,39,46,56,37,1
3,230,231,28,40,45,59,38,1
1,228,227,1261,0,0,0,0,1
